a2jmidid 9-5
jack_capture 0.9.73-8
jack_delay 0.4.2-3
jack_mixer 19-2
jack_utils 0.0.1-3
jackmeter 0.4-4
jackminimix 0.2.1-4
jacktrip 1:2.5.1-1
jalv 1.6.8-3
jansson 2.14-4
japa 0.9.4-3
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jc303-clap 0.10.1-1
jc303-common 0.10.1-1
jc303-lv2 0.10.1-1
jc303-vst3 0.10.1-1
jconvolver 1.1.0-4
jdk17-openjdk 17.0.14.u7-1
jfsutils 1.1.15-9
jnoisemeter 0.4.1-1
jre8-openjdk 8.442.u06-1
jre8-openjdk-headless 8.442.u06-1
js128 128.8.0-1
js80p 3.4.1-1
jsampler 0.9-10
json-c 0.18-1
json-glib 1.10.6-1
jsoncpp 1.9.6-3
karchive 6.11.0-1
kate 24.12.3-1
kauth 6.11.0-1
kbd 2.7.1-2
kbookmarks 6.11.0-1
kcmutils 6.11.0-1
kcodecs 6.11.0-1
kcolorscheme 6.11.0-1
kcompletion 6.11.0-1
kconfig 6.11.0-1
kconfigwidgets 6.11.0-1
kcoreaddons 6.11.0-1
kcrash 6.11.0-1
kdbusaddons 6.11.0-1
kernel-headers-musl 4.19.88-3
keyutils 1.6.3-3
kfilemetadata 6.11.0-1
kglobalaccel 6.11.0-1
kguiaddons 6.11.0-1
ki18n 6.11.0-1
kiconthemes 6.11.0-1
kio 6.11.0-1
kirigami 6.11.0-1
kitemviews 6.11.0-1
kitty 0.39.1-1
kitty-shell-integration 0.39.1-1
kitty-terminfo 0.39.1-1
kjobwidgets 6.11.0-1
kmidimon 1.4.1-1
kmod 34.1-1
knewstuff 6.11.0-1
knotifications 6.11.0-1
kpackage 6.11.0-1
kparts 6.11.0-1
kpty 6.11.0-1
krb5 1.21.3-1
kservice 6.11.0-1
ktexteditor 6.11.0-1
kuserfeedback 6.11.0-1
kvantum 1.1.4-1
kwallet 6.11.0-1
kwidgetsaddons 6.11.0-1
kwindowsystem 6.11.0-1
kxmlgui 6.11.0-1
l-smash 2.14.5-4
laborejo 2.2.2-2
lame 3.100-5
